,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
ARAF,0.25459266,0.058115408,0.11479571,-0.07748202,-0.06848395,0.51804835,-0.25389132,-0.037289724,0.13918717,0.17523974,0.010257565,0.4637888,-0.51113224,0.36499268,0.047263958,-0.09523402,-0.1014836,-0.09020645,0.36660942,-0.40232348,0.052263394,0.049567346,-0.40687442,-0.6895108,-0.047760386,-0.12741376,0.19095804,0.13900352,-0.14571059,0.18062499,-0.20988435,0.96135175,0.92242366,-0.117574684,0.5439079,0.28575474,0.57916343,-0.58035386,-0.18268858,-1.1285995,-0.05431183,-0.47487575,-0.16399439,0.055121444,0.05199002,0.29584646,0.06859792,0.63528013,0.30286488,0.7595003,-0.05913033,0.001965031,0.37372068,-0.28355792,-0.4471935,1.4744538,0.17223045,0.08117508,0.13361013,0.041540243,0.16842757,-1.0739621,0.38001794,0.12044943
ARAF_S214C,-0.27164066,-0.41741344,0.16239251,-0.2293463,-0.08015641,-0.18204468,-0.18072964,0.42237425,0.23971015,-0.24143136,-0.5685232,0.33000126,-0.30079648,0.030453501,-0.22272591,-0.13043752,-0.16913223,-0.14971791,-0.081059076,-0.51502526,-0.67459667,0.012366013,1.6257293,-0.14671497,-0.45535144,-0.36416155,0.2837207,0.012319584,-0.019983357,-0.09804691,0.362866,0.19937383,-0.03302681,-0.012435124,-0.3997948,-0.19939582,0.18228756,0.16653645,-0.23274192,0.033864513,-0.035592012,-0.516727,0.20043252,0.9579875,0.094804734,-0.15566668,0.20109928,-0.20056416,-0.33224487,0.80479413,-0.10060161,-0.018660001,-0.16391714,0.13685645,0.31770417,0.28478944,0.10923315,0.38026047,-0.10203338,0.3652259,-0.062067684,-0.04784431,0.18144557,0.08428278
Sorafenib,-0.13032594,-0.26900414,0.6186164,-0.85991216,-1.3076179,-0.11642942,-0.43395352,-0.09062787,-0.09818379,0.010220712,0.12680285,-0.062946945,-0.18412048,-0.11460308,0.12969874,0.24722955,0.47910404,-0.95871145,-0.08045696,-0.28747955,0.049156457,-0.16201693,-0.3539925,-0.009683335,-0.01252685,0.006432622,0.1202795,-1.0266122,-0.8650529,-0.28356066,0.033053387,0.35188615,-0.04171854,-0.38476786,-0.81698775,0.11594059,-0.06710205,-0.22419016,-0.034111537,-0.30898225,-0.062480453,0.4801936,0.17908932,-0.015116276,-0.5179678,-1.0378317,-0.008178602,0.37055504,-0.8689252,-0.62353307,0.08112047,1.6123507,-0.058352925,0.29773897,0.45734927,0.3298797,0.3455886,-0.009293382,0.042365517,0.17354704,-0.118677825,-0.48889565,0.20798445,-0.14931287
Lung Non-Small Cell Carcinoma,-0.046742022,0.4194621,-0.34718555,2.0345538,-0.33261752,0.5009409,-1.0034074,1.1228029,0.8868453,-0.3567206,1.0681733,0.54303867,-0.76011586,0.6026426,-0.51901245,-0.72015136,0.66925246,0.35514373,0.102256745,-1.3272225,0.526064,-1.1837521,1.7491319,-0.9731432,-2.4741645,-0.40938568,-1.1077181,-0.16283718,-0.026080333,0.11017966,-0.63191736,0.12539077,-1.5608346,0.06153402,0.50723755,0.42212573,-0.8150405,-1.2719343,-0.8010777,0.9300825,0.04529032,2.0460498,-0.59597796,0.11617963,0.6808291,0.42885846,0.4637512,-1.1446967,0.9483574,-1.4769752,-1.5617942,1.219972,0.4681556,1.3611081,1.1118652,1.0058737,0.7286334,-0.37909526,0.8148292,0.7139544,0.33966228,-1.845855,-0.11550316,-0.35588813
ALK,-0.12713249,-0.45830786,-0.31347466,-0.5675347,0.11354469,-0.06302213,-0.5639423,0.32897538,0.2541995,-0.44640177,0.604238,-0.11374615,-0.018288482,-0.29224887,0.7335022,-0.3479154,-0.18170023,0.35523334,-0.18804985,0.5266114,-1.0888871,-0.30383205,-1.4382763,-0.33183214,-0.17066686,-0.4574425,0.4303532,-0.056330506,-0.4421275,0.34196782,-0.44678733,-0.23017877,-1.0025195,-0.13565269,0.35890406,-0.1964966,0.2780984,-0.31433645,-0.3363018,-0.5859691,-0.90570605,-1.349232,-0.13626333,0.13990536,0.17874736,-0.6810178,0.60470647,-0.2833378,0.4348935,0.40703535,-0.8870531,0.86563396,-0.0065341457,0.12589583,-0.1477271,-1.1381911,0.29162717,-0.48684326,0.08228007,-0.19981349,0.3184338,-1.212226,-0.15725856,0.15816689
ALK_F1174L,-0.5043085,-0.076103546,-0.1508191,0.50781673,-0.037044372,0.3494176,1.7602051,0.1649161,-0.28404385,0.008040493,0.58175856,-0.22459282,-0.6073225,-0.22182742,1.1831734,-0.33398828,-0.7144259,-0.42902896,-0.43446082,-0.22335494,-0.8044478,-0.43344462,0.52977926,0.2924551,0.25410962,0.75334597,0.4939079,0.61141795,-0.3499695,-0.097493105,0.25756547,-0.77053845,0.19855721,0.2732335,0.1701647,-0.19211291,-0.81159425,0.18086849,0.9200077,0.47856998,-0.20711198,0.7860421,-0.25058565,0.6949302,0.5728835,0.23014852,-0.18485594,0.06352449,-0.12825933,-0.43466246,0.015435894,1.5818492,0.44587418,0.56825525,-0.84867966,-0.23912053,-0.70691013,0.042783126,-0.20691842,-0.9490232,-0.85669786,-0.122113205,0.038481556,-0.08917598
Crizotinib,-1.0811079,0.16049635,0.62126607,1.1880584,-0.21889357,-0.78274614,0.44194996,-0.0036851359,-0.871025,-0.7290892,-0.22483034,0.13569723,0.4712029,0.14656073,0.26548353,1.4489889,-0.8894045,-0.6838488,-0.48558027,-0.84745973,1.281607,-0.7677156,-0.323194,-0.15309511,1.1714455,0.07154436,0.37048268,-0.15198709,-0.025165837,0.84753823,-0.026199007,0.3529869,-0.1641778,-0.4293329,1.3861076,0.017587136,-1.5309393,0.7742215,0.011823266,1.0603844,0.026401296,-0.4929328,0.15235771,-0.09861352,-0.17407162,0.3439853,0.9092637,-0.09485092,0.7881214,0.63010514,-2.3434298,-0.6655066,0.43592954,-0.2247532,0.40125462,0.32223505,-0.6060644,-0.99423,-0.91274774,0.9525005,0.38968688,-1.2711031,0.03163515,1.7562947
KRAS,0.10831715,-0.09243269,-0.31920734,0.16235021,0.28199092,0.115535825,0.14884143,0.31579456,0.4066143,0.13425936,-0.33606738,0.008341439,-0.14293328,-0.22299553,-0.60377216,0.098486155,-0.39858347,0.095103994,-0.11676992,-0.12918365,-0.47273332,-0.24206504,-0.6352158,-0.1817766,-0.06310002,-0.028542064,-0.06979433,-0.07853257,0.13064013,0.28958696,0.049954172,1.0857,-0.23718105,0.0017931534,0.10306382,-0.023548633,0.28550842,-0.08092314,-0.04201857,1.5670934,-0.10212992,0.21359155,0.083853334,0.37961358,-0.10762056,-0.3978129,-0.01671388,0.21099478,-0.67774385,-0.1444852,0.20824586,0.5979652,-0.24263886,-0.37505358,0.1277138,-0.031387232,-0.29632443,-0.25860897,0.100115515,0.17551629,0.090197995,0.07716317,0.5027405,-0.06598184
KRAS_G12/G13,-0.039630793,0.2781471,-0.03048045,-0.038022507,0.065987915,0.123760626,-0.20873721,-0.08154461,-0.4090263,-0.10525471,0.057425503,0.21171975,0.12975435,0.71795756,0.07746163,-0.09821056,0.016242664,0.13266052,-0.15720078,-0.48318687,-0.13583098,-0.13791253,-0.08361115,0.009850758,-0.3042601,0.07359696,0.10054772,0.273963,-0.3566161,-0.0308199,-0.10935425,-0.09264124,-0.024542237,0.5829633,0.082543716,-0.06351809,0.7748814,-0.013872348,-0.032988943,0.040324412,-0.08390383,-0.64826745,-0.08189823,-0.35408562,-0.028109755,0.019404966,0.063436575,-0.05340699,-0.11655998,-0.27591786,-0.08091356,0.41048405,-0.104614496,0.1946553,-0.17377864,0.046486832,0.17171167,-0.017022943,0.027447904,0.07952277,-0.107178174,-0.06949704,0.5966042,-0.1995308
Erlotinib,0.48661795,0.6363667,0.2979242,0.13707536,0.031959128,0.45530295,0.07888904,-0.5813602,1.0135235,-0.08860229,0.2942423,1.497402,-0.1513468,-0.28662702,-0.03596558,0.44980314,0.033390563,0.26379606,-0.23997472,-0.47607931,-0.09207929,-0.013142587,0.22956222,0.5943244,0.062423818,0.4505969,0.14073886,0.23120928,-0.3828421,0.054397617,0.5215064,-0.03258243,0.3204148,-0.14148721,0.61336994,1.0947262,-0.95229226,0.02011246,0.23125248,0.028131885,0.89262825,0.0546016,0.18364559,0.886274,0.6986073,0.7062085,0.27707246,1.3598335,-0.9533566,-0.7823591,-0.26319516,0.5259853,0.5965519,0.7582064,-0.33205086,-0.06360876,0.3395259,-0.5588314,0.08718183,0.29649505,-0.6997987,-0.16774273,0.42284063,-0.38693237
